sw,collisions,port_no,rx_bytes,rx_crc_err,rx_dropped,rx_errors,rx_frame_err,rx_over_err,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
00-00-00-00-00-01,0,65534,0,0,11750,0,0,0,0,0,0,0,0
00-00-00-00-00-01,0,1,1566,0,0,0,0,0,21,835262,0,0,11776
00-00-00-00-00-01,0,2,626787,0,0,0,0,0,8834,412979,0,0,5860
00-00-00-00-00-01,0,3,612349,0,0,0,0,0,8728,426133,0,0,5954
00-00-00-00-00-02,0,65534,0,0,11761,0,0,0,0,0,0,0,0
00-00-00-00-00-02,0,1,1566,0,0,0,0,0,21,835995,0,0,11787
00-00-00-00-00-02,0,2,628381,0,0,0,0,0,8857,411908,0,0,5845
00-00-00-00-00-02,0,3,611369,0,0,0,0,0,8714,427937,0,0,5980
00-00-00-00-00-05,0,65534,0,0,11765,0,0,0,0,0,0,0,0
00-00-00-00-00-05,0,1,627977,0,0,0,0,0,8851,411929,0,0,5845
00-00-00-00-00-05,0,2,611859,0,0,0,0,0,8721,428196,0,0,5984
00-00-00-00-00-05,0,3,1566,0,0,0,0,0,21,836275,0,0,11791
00-00-00-00-00-06,0,65534,0,0,11750,0,0,0,0,0,0,0,0
00-00-00-00-00-06,0,1,626227,0,0,0,0,0,8826,412522,0,0,5854
00-00-00-00-00-06,0,2,613189,0,0,0,0,0,8740,426516,0,0,5960
00-00-00-00-00-06,0,3,1566,0,0,0,0,0,21,835188,0,0,11776
00-00-00-00-00-04,0,65534,4160,0,11577,0,0,0,80,0,0,0,0
00-00-00-00-00-04,0,1,426133,0,0,0,0,0,5954,612349,0,0,8728
00-00-00-00-00-04,0,4,426516,0,0,0,0,0,5960,613189,0,0,8740
00-00-00-00-00-04,0,2,427937,0,0,0,0,0,5980,611369,0,0,8714
00-00-00-00-00-04,0,3,428196,0,0,0,0,0,5984,611859,0,0,8721
00-00-00-00-00-03,0,65534,0,0,11767,0,0,0,0,0,0,0,0
00-00-00-00-00-03,0,4,413642,0,0,0,0,0,5870,627627,0,0,8846
00-00-00-00-00-03,0,1,414099,0,0,0,0,0,5876,628257,0,0,8855
00-00-00-00-00-03,0,2,413749,0,0,0,0,0,5871,629447,0,0,8872
00-00-00-00-00-03,0,3,414078,0,0,0,0,0,5876,628731,0,0,8862
